"","x"
"1",182.098701724907
"2",182.966262122567
"3",177.234876797233
"4",174.825519785761
"5",182.241212190883
"6",165.274308226074
"7",182.410689857479
"8",176.066711263423
"9",176.010881792396
"10",171.564745982681
"11",177.186265355536
"12",190.72118430593
"13",180.594395049806
"14",181.641515202885
"15",172.746276038484
"16",183.718298876644
"17",171.795497351298
"18",175.678956870402
"19",185.844988561687
"20",180.091065894871
"21",183.457353471887
"22",188.190495577338
"23",173.489700995381
"24",167.128038163392
"25",166.816033383126
"26",190.635682631676
"27",174.628468454138
"28",182.342658609089
"29",182.284864448556
"30",176.863823161573
"31",183.683112249877
"32",193.377834824433
"33",192.344332361843
"34",189.427119476363
"35",179.779898349698
"36",181.438317954908
"37",175.73139394884
"38",166.36564829299
"39",190.374136956111
"40",178.180607340535
"41",185.899575835131
"42",161.337493570221
"43",170.578141134932
"44",184.55998378128
"45",183.981162042314
"46",188.225105821729
"47",168.108308554776
"48",181.971822773971
"49",182.08231357405
"50",168.852408165749
"51",174.217297482965
"52",191.633848653124
"53",178.375131892502
"54",180.461639883887
"55",173.303164227042
"56",179.945675863643
"57",182.838198910124
"58",183.766567300943
"59",193.015455143362
"60",161.571392151456
"61",179.047143864306
"62",168.602279627893
"63",181.873121528527
"64",189.129739898868
"65",173.89184283929
"66",165.173358856534
"67",184.216976028564
"68",189.154419306494
"69",181.617982694637
"70",168.930298237936
"71",178.382309027306
"72",172.507454387659
"73",170.654530267306
"74",194.313583736833
"75",187.818937680072
"76",184.598205954841
"77",183.783808010067
"78",172.319216568662
"79",181.333737965276
"80",185.148808852368
"81",182.517681519443
"82",185.30200486086
"83",175.869416211144
"84",195.339776418741
"85",184.798544711262
"86",191.069694291967
"87",182.704297283104
"88",175.844326334139
"89",181.755666016976
"90",183.774090457462
"91",171.252689646903
"92",172.014422422301
"93",191.20862859418
"94",175.257264396034
"95",171.13556935735
"96",182.811324703899
"97",174.464695377354
"98",193.104038715545
"99",173.801417053226
"100",173.138173147105
"101",179.567477852649
"102",169.906436688315
"103",180.956929694509
"104",168.726713209058
"105",178.987590190022
"106",174.247664010563
"107",175.818757407953
"108",188.892767498209
"109",174.863766960939
"110",180.247864762458
"111",169.388794271839
"112",168.731589154921
"113",186.828695920718
"114",187.234622037496
"115",177.434723670424
"116",174.4643713561
"117",177.634924846688
"118",182.402024375759
"119",193.260016782394
"120",177.516878854365
"121",188.814045214263
"122",187.250164120138
"123",180.25506102754
"124",188.716685838146
"125",175.05132214663
"126",169.888252840273
"127",165.08242197405
"128",186.1012770094
"129",163.135150832897
"130",169.627779373224
"131",189.495343935371
"132",184.185583832134
"133",181.674131237251
"134",169.707386540585
"135",196.590517905
"136",170.664604028472
"137",170.922142334667
"138",182.6824515676
"139",178.904241055733
"140",175.041961930625
"141",170.018150986063
"142",168.943992969772
"143",173.837108616504
"144",167.494301438454
"145",178.110989851459
"146",181.781186973846
"147",167.16895623068
"148",183.947570509499
"149",184.272092290327
"150",178.970836977668
