"","churn","app_usage","payment_method","payment_freq","location","platform","userId","month","sub_amount"
"4745",0,22873.3754509544,"Credit Card","Quarterly",1,"Android",37271242,"feb",11.165445681741
"30548",0,20255.9653324379,"Credit Card","Annual",1,"Android",67847248,"jan",142.490500228514
"2521",0,18665.6842898892,"PayPal","Monthly",0,"Android",81623468,"feb",14.4311642809179
"18660",1,15588.6142239431,"PayPal","Monthly",0,"Android",39782742,"feb",12.0490178919449
"7900",0,16066.3947296184,"PayPal","Quarterly",0,"Android",37342533,"feb",8.89485389972669
"28377",0,20869.8069830188,"Credit Card","Monthly",0,"iOS",17040676,"jan",14.7568612897613
"34747",0,19954.2084348478,"Credit Card","Annual",0,"Android",84678438,"jan",162.839649472933
"8662",0,16797.0886114624,"Credit Card","Annual",1,"Android",81860369,"feb",169.911575589528
"22755",0,19613.7584955798,"Credit Card","Quarterly",0,"Android",84119313,"jan",10.0908627153944
"12581",0,18873.8721936103,"Credit Card","Annual",1,"Android",76794760,"feb",124.29881542724
"32943",0,16503.1083099112,"Credit Card","Monthly",1,"iOS",92025983,"jan",15.4394833589198
"21668",0,18625.4533141792,"Credit Card","Quarterly",1,"iOS",66656767,"jan",11.1308893440252
"31925",0,24232.6431706867,"PayPal","Monthly",0,"iOS",95118311,"jan",14.6532406442939
"6074",0,13095.7396175592,"PayPal","Quarterly",0,"Android",11934075,"feb",10.8211305755786
"26968",0,15802.9100914809,"Credit Card","Annual",0,"iOS",62274153,"jan",147.088201680758
"14755",0,19867.5707175235,"Credit Card","Annual",1,"iOS",18504204,"feb",126.130701521842
"32858",0,18548.5444725374,"Credit Card","Quarterly",0,"iOS",59069309,"jan",11.0414531395641
"22947",0,18279.366278998,"Credit Card","Annual",0,"Android",40008886,"jan",147.463525701575
"26169",0,18812.3641883666,"PayPal","Quarterly",1,"iOS",69200853,"jan",11.6876415483616
"28183",0,20728.9007957432,"PayPal","Monthly",0,"Android",43326575,"jan",14.7223899196368
"13643",0,17092.1693280696,"PayPal","Monthly",0,"Android",74518456,"feb",14.7760560696683
"16674",0,17194.1678979977,"Credit Card","Annual",1,"Android",77492143,"feb",134.858233647616
"1781",0,18214.5814552015,"PayPal","Monthly",1,"Android",37181138,"feb",16.224044763719
"13265",0,17832.8168750233,"PayPal","Annual",1,"Android",38462944,"feb",154.860551314263
"2971",0,19181.6644387762,"Credit Card","Monthly",1,"Android",71251419,"feb",16.0881628863476
"2161",0,20720.4327589858,"Credit Card","Quarterly",0,"iOS",18132244,"feb",7.62126519209208
"7158",0,19590.3649608828,"Credit Card","Monthly",1,"Android",28608092,"feb",14.5210058160456
"13007",0,20867.3236924815,"Credit Card","Annual",0,"iOS",65574551,"feb",145.262390717611
"12274",0,15467.1822864562,"Credit Card","Annual",1,"Android",67021443,"feb",153.258098261861
"16904",0,18593.2076657099,"PayPal","Monthly",0,"Android",44999141,"feb",15.6051021256107
"23553",0,19562.5274854685,"Credit Card","Annual",0,"Android",52114897,"jan",156.907455443082
"38514",0,14421.8253396398,"PayPal","Monthly",1,"Android",29570734,"jan",12.4278553848642
"34240",0,18558.7732970989,"Credit Card","Annual",0,"iOS",67056495,"jan",168.03741029599
"30243",0,22085.0717561404,"PayPal","Monthly",1,"Android",53151412,"jan",15.7440393822021
"28839",0,17328.6612518125,"Credit Card","Annual",1,"Android",27317142,"jan",180.819469724981
