"","churn","app_usage","payment_method","payment_freq","location","platform","userId","month","sub_amount"
"17895",0,13608.2396330394,"Credit Card","Annual",0,"iOS",54287868,"jan",138.849985996887
"7171",0,17454.9256971536,"Credit Card","Annual",1,"iOS",81692163,"jan",175.941571326461
"13505",0,15389.2174518351,"Credit Card","Quarterly",0,"Android",27777011,"jan",11.0752944951463
"12753",0,15567.3512728532,"PayPal","Annual",0,"Android",77799699,"jan",167.905887684794
"9172",0,21167.1379255815,"PayPal","Quarterly",1,"Android",10373363,"jan",11.0580417775357
"6414",0,17255.734967792,"Credit Card","Quarterly",0,"iOS",32166599,"jan",11.1431394776605
"7258",0,23556.7287498806,"Credit Card","Quarterly",0,"Android",35158326,"jan",9.34797106519966
"18566",1,19212.9655867432,"Credit Card","Annual",0,"Android",43700583,"jan",120.502521097445
"17235",0,15720.9679587277,"Credit Card","Annual",1,"Android",17363451,"jan",148.899314882937
"5112",0,19196.780117459,"Credit Card","Annual",0,"Android",47860164,"jan",166.127262279474
"4206",0,17927.4948782369,"PayPal","Quarterly",1,"Android",51759327,"jan",10.8563275844384
"10726",0,17394.7103300716,"Credit Card","Annual",0,"Android",76375296,"jan",164.550000338429
"10711",0,20554.9868897452,"Credit Card","Annual",0,"iOS",51723719,"jan",171.97990091417
"1194",0,21682.5469631264,"Credit Card","Annual",1,"iOS",64021246,"jan",157.274174061621
"12935",0,18035.9144048856,"Credit Card","Annual",0,"Android",84854432,"jan",198.398154626508
"14336",0,16302.2004183051,"Credit Card","Annual",0,"Android",83155515,"jan",160.936739468279
"12848",0,19971.9915512691,"Credit Card","Quarterly",0,"Android",49180767,"jan",8.79916596854906
"3598",0,17569.8232217816,"Credit Card","Quarterly",1,"Android",49644925,"jan",10.9168564306835
"14302",0,20534.7025196946,"Credit Card","Annual",1,"Android",92920137,"jan",136.280837736633
"7243",0,19385.0454561475,"Credit Card","Annual",1,"iOS",80345875,"jan",180.067686390949
"15521",0,21127.5764576621,"Credit Card","Quarterly",0,"iOS",23112493,"jan",10.7473957829854
"2296",0,19267.6003219751,"Credit Card","Annual",0,"iOS",61602105,"jan",171.808731509347
"15539",0,18231.8179583505,"PayPal","Monthly",1,"Android",60180360,"jan",15.7825614266451
