"","churn","app_usage","payment_method","payment_freq","location","platform","userId","month","sub_amount"
"26732",0,22535.4274956755,"Credit Card","Quarterly",0,"Android",82918418,"may",10.2651683764437
"12547",0,15954.9714616155,"Credit Card","Annual",0,"Android",50261969,"jul",129.200837239103
"8272",0,19659.4144385569,"Credit Card","Quarterly",0,"iOS",48024341,"jul",11.2258547876998
"10974",0,19813.6929609653,"Credit Card","Annual",0,"Android",35510637,"jul",124.332373663744
"39672",0,21342.578477084,"Credit Card","Monthly",1,"Android",52311275,"jun",14.1341787428119
"17023",0,16521.9411696722,"Credit Card","Annual",0,"Android",91034416,"jul",143.325428435747
"65957",0,20227.857384148,"PayPal","Quarterly",0,"Android",59456766,"mar",7.86845511801343
"97515",0,17305.7584195224,"Credit Card","Annual",0,"iOS",93424961,"feb",150.6639981992
"6258",0,23687.0726319127,"Credit Card","Annual",0,"iOS",94536900,"jul",183.643673954602
"13450",0,20844.5275566405,"Credit Card","Quarterly",0,"Android",41420558,"jul",9.54995218029294
"44574",0,20213.2360111884,"Credit Card","Quarterly",1,"Android",44517733,"apr",11.3611612059901
"87395",0,14877.4420615473,"Credit Card","Annual",0,"iOS",93678494,"feb",164.868009859309
"5133",0,20522.0860718298,"Credit Card","Quarterly",0,"Android",35513069,"jul",9.13053644913803
"10157",0,17374.5585523849,"Credit Card","Quarterly",0,"Android",14662773,"jul",11.0149257422498
"15661",0,18207.9769505404,"Credit Card","Annual",0,"Android",84427723,"jul",178.600915644287
"51001",0,20331.1257901472,"PayPal","Monthly",1,"Android",32095388,"apr",15.1449831270038
"15738",0,20497.8703570605,"PayPal","Monthly",0,"Android",62747976,"jul",11.9006129732545
"112797",0,16010.2631802861,"Credit Card","Quarterly",0,"Android",38347571,"jan",9.74019299399188
"10807",0,17898.4601459419,"Credit Card","Annual",0,"Android",29903264,"jul",164.19904979411
"16785",0,18588.7413993325,"Credit Card","Annual",1,"Android",11254435,"jul",169.814295379169
"30508",0,15759.9537567789,"Credit Card","Quarterly",0,"Android",98025419,"may",8.56997716571686
"84672",0,19452.3975541874,"PayPal","Quarterly",0,"Android",20607626,"feb",9.2527235108881
"80002",0,14414.2901835298,"PayPal","Monthly",0,"Android",29162903,"mar",14.7242882448877
"76140",0,17228.9883945687,"Credit Card","Annual",1,"iOS",66782788,"mar",134.602203170028
"71479",0,20800.147036342,"Credit Card","Annual",1,"iOS",63248785,"mar",152.06317886801
"2137",0,16613.3535644379,"Credit Card","Quarterly",1,"Android",72398253,"jul",11.3749793007023
"87021",0,20069.3204193762,"PayPal","Monthly",0,"Android",96214019,"feb",16.2611225907745
"69673",0,19046.8338785407,"PayPal","Annual",0,"iOS",57809900,"mar",140.258082379045
"101957",0,17198.0940288904,"Credit Card","Annual",1,"Android",95644838,"feb",133.864415481193
"22878",0,21627.4951356335,"Credit Card","Quarterly",0,"Android",52605246,"may",7.63548458418093
"13257",0,18043.9638773977,"PayPal","Quarterly",0,"Android",33138446,"jul",10.938221489571
"188341",1,15501.3169376709,"PayPal","Monthly",0,"Android",30235032,"jun",13.5456931258565
"45839",0,16100.0845469529,"Credit Card","Annual",0,"iOS",80175491,"apr",150.271277864379
"119412",0,12695.466179332,"Credit Card","Monthly",1,"iOS",19078164,"jan",11.7850362490809
"37345",0,19339.188940829,"Credit Card","Quarterly",0,"Android",83626850,"may",10.8785673316293
"83626",0,20349.6031900637,"PayPal","Monthly",1,"Android",97639468,"feb",15.9411520723881
"13701",0,17580.7864208604,"Credit Card","Quarterly",0,"Android",69586811,"jul",8.56596170623398
"4508",0,15573.7984694272,"PayPal","Quarterly",0,"Android",56294804,"jul",9.4227254244722
"115193",0,15721.5569168161,"Credit Card","Quarterly",1,"Android",56627616,"jan",12.3223803284694
"113169",0,15079.5682257346,"Credit Card","Annual",0,"Android",80128755,"jan",188.927656491982
"75606",0,17463.759776305,"Credit Card","Annual",0,"Android",84427723,"mar",138.927596466256
"42800",0,16194.4335332812,"Credit Card","Quarterly",0,"iOS",47034475,"apr",11.3433973824753
"102190",0,13896.6280034776,"PayPal","Monthly",1,"Android",72420625,"feb",14.6338171372546
"15049",0,19377.4114349909,"PayPal","Monthly",1,"Android",45378088,"jul",14.3602780916218
"111561",0,18997.3279748469,"Credit Card","Annual",1,"Android",17713226,"jan",153.036957836421
"48259",0,18722.8817832018,"Credit Card","Quarterly",0,"Android",36308239,"apr",10.4949881179137
"36353",0,17519.040458821,"Credit Card","Quarterly",1,"Android",28164646,"may",10.3745404265492
"3229",0,17716.39375849,"Credit Card","Annual",1,"Android",68375491,"jul",140.125539790282
"64376",0,18149.5160264335,"PayPal","Monthly",0,"Android",42360919,"mar",16.2603220827201
"90312",0,19620.7994033872,"PayPal","Monthly",0,"Android",79654224,"feb",16.0974760759972
"49569",0,19229.6026843705,"Credit Card","Quarterly",1,"Android",92808320,"apr",9.48815974404674
"36401",0,19477.9493739867,"Credit Card","Monthly",0,"Android",43063098,"may",14.3151327137002
"79711",0,19321.4677841791,"Credit Card","Annual",1,"Android",57989338,"jun",162.012832367101
"12852",0,18368.9151498915,"Credit Card","Annual",0,"iOS",91141767,"jul",174.172354066281
"103910",0,16498.8437817952,"Credit Card","Quarterly",1,"Android",46553172,"jun",9.99484393033466
