"","x"
"1",163.284030065803
"2",176.290387538086
"3",174.171692922868
"4",168.161012031419
"5",172.348254588757
"6",171.494320256886
"7",183.196080011199
"8",170.93420722241
"9",173.406632368425
"10",169.096581638876
"11",170.074168908781
"12",174.818907423546
"13",171.548155882224
"14",170.109598594989
"15",167.04918281446
"16",171.316105167173
"17",176.798104065081
"18",165.561089941353
"19",183.585884413966
"20",172.857920671082
"21",174.199522902965
"22",181.08315666584
"23",173.216440926798
"24",177.9474867834
"25",162.783968890364
"26",175.885700931606
"27",187.901300535958
"28",175.408189925034
"29",174.291063024482
"30",162.105725882583
"31",167.529563454603
"32",172.705731854878
"33",170.567675139909
"34",179.782290787081
"35",177.892788410435
"36",173.458505114289
"37",181.722484107498
"38",175.244726500618
"39",171.974575665485
"40",169.986723128897
"41",176.261132647644
"42",169.96888398289
"43",177.720774736412
"44",174.805696409651
"45",180.861343440484
"46",177.790602621633
"47",178.105162625687
"48",170.338592191432
"49",170.319351274343
"50",173.079830250657
"51",164.383125762638
"52",169.224442116423
"53",174.461130593752
"54",179.350173400076
"55",177.98809290749
"56",173.631270895714
"57",162.549721433256
"58",176.871481962591
"59",173.582625348056
"60",172.539597832771
"61",178.95170406621
"62",167.844495432505
"63",171.310521870054
"64",185.397483624144
"65",169.3306821331
"66",174.893676947989
"67",176.961760268869
"68",162.666785557129
"69",160.192243709908
"70",173.413673588822
"71",178.206930455487
"72",159.259734923247
"73",172.09885827075
"74",171.387309243254
"75",183.747992246884
"76",177.033608250189
"77",171.74419318222
"78",173.073095036746
"79",182.204701186306
"80",173.463750898443
"81",173.470625196494
"82",168.324433577422
"83",173.999358012391
"84",174.591947418648
"85",178.344684257722
"86",170.192669783201
"87",177.550247340841
"88",169.14958185338
"89",176.766030939485
"90",174.489980760938
"91",168.799545099655
"92",169.595590489285
"93",171.431636444663
"94",166.61668978528
"95",172.361788076067
"96",177.626622438054
"97",189.484421253492
"98",172.496391457545
"99",176.261405805502
"100",177.517167263812
"101",168.147955234053
"102",179.006719084344
"103",175.736315027796
"104",164.394498155414
"105",171.408171102332
"106",176.85061498185
"107",170.509873827731
"108",170.242545942656
"109",168.245035905684
"110",166.048765199148
"111",177.265339990691
"112",180.605610513429
"113",172.141093665496
"114",169.909826561941
"115",181.897347105849
"116",172.024466540442
"117",173.250255046414
"118",175.898239376833
"119",165.919236956433
"120",169.018557565143
"121",169.192100634722
"122",168.788221811325
"123",176.461102273228
"124",160.321517775645
"125",174.565458096049
"126",179.882763141738
"127",173.088761891337
"128",171.129564536588
"129",167.262823351375
"130",175.840482551244
"131",163.916815521937
"132",173.985685986024
"133",167.774808688608
"134",182.5599739659
"135",176.879585136751
"136",175.144218111096
"137",173.614358379198
"138",168.94839904883
