,churn,app_usage,payment_method,payment_freq,location,platform,userId,month,sub_amount
13395,0,21233.4590828466,PayPal,Monthly,0,iOS,82049446,jul,$ 15.5711225234741
4091,0,17085.317432886102,PayPal,Quarterly,0,iOS,17869354,jul,$ 9.07916708598845
17851,0,15480.8889259066,PayPal,Monthly,1,iOS,97005295,jul,$ 15.6124775838344
8761,0,17842.9612767457,PayPal,Monthly,1,iOS,40439203,jul,$ 13.684818042456
3322,0,18959.0807050064,PayPal,Quarterly,1,Android,18276030,jul,$ 11.1781769635812
844,0,17533.3403703417,PayPal,Monthly,1,Android,99726923,jul,$ 13.5220941088874
12992,0,16085.5209711223,Credit Card,Quarterly,0,Android,24535696,jul,$ 9.69753242242835
7503,0,18337.0758748013,PayPal,Quarterly,0,Android,65579956,jul,$ 9.28493104997119
13273,0,20707.1389950347,PayPal,Quarterly,0,Android,64720690,jul,$ 9.82489219493046
7285,0,17318.8390796606,PayPal,Quarterly,0,Android,29840001,jul,$ 7.75653386116416
15712,0,17194.1230895305,PayPal,Annual,1,Android,74901866,jul,$ 169.369264786913
1332,0,18800.907398035,Credit Card,Annual,0,Android,26225741,jul,$ 154.395099360899
6873,0,19810.9110091099,Credit Card,Quarterly,0,Android,20571365,jul,$ 11.4218500932592
13700,0,17898.3583002593,Credit Card,Monthly,0,Android,18904094,jul,$ 13.9990389110371
10755,0,20058.477413375902,Credit Card,Annual,1,Android,58445681,jul,$ 179.711680930719
19344,0,17748.8242404722,PayPal,Monthly,1,Android,52220936,jul,$ 16.2729482360652
597,1,18426.7536988344,PayPal,Quarterly,1,iOS,87316327,jul,$ 11.4839294692335
7076,0,19002.845031868703,PayPal,Monthly,1,Android,16018127,jul,$ 17.5177144605295
9790,0,16373.2977544854,PayPal,Quarterly,0,Android,86025937,jul,$ 8.25280833405522
17025,0,18031.8743452973,Credit Card,Annual,0,Android,97596198,jul,$ 171.507445437355
12206,0,19545.8476974605,PayPal,Monthly,1,iOS,58653267,jul,$ 16.4587116994347
16057,0,19421.1524969422,Credit Card,Annual,1,iOS,20382136,jul,$ 122.038228019466
11148,0,18267.728082981397,Credit Card,Annual,0,Android,23676534,jul,$ 162.836469546249
7615,0,21630.8753058945,Credit Card,Annual,1,iOS,63425974,jul,$ 169.882454436702
3931,0,18400.1259476658,Credit Card,Quarterly,1,Android,54989486,jul,$ 10.8900307332068
17653,0,21743.415920284,Credit Card,Monthly,0,Android,59720972,jul,$ 16.772825047337
1804,0,16433.389787803302,Credit Card,Annual,0,Android,18887933,jul,$ 154.36691546283
9847,0,18643.9304523565,PayPal,Monthly,0,Android,99284965,jul,$ 15.9167951515025
15508,0,16816.1444449622,PayPal,Quarterly,1,iOS,36108752,jul,$ 9.98403471138983
11734,0,20043.4644363923,Credit Card,Annual,0,Android,43499711,jul,$ 151.846108207268
17797,0,16345.9460958513,Credit Card,Annual,0,iOS,79274856,jul,$ 157.906588406307
8891,0,18353.2921244968,Credit Card,Annual,0,iOS,35224869,jul,$ 141.528226594747
11344,0,19531.4022190976,Credit Card,Annual,0,iOS,26665963,jul,$ 123.024607392701
18957,0,18612.4928390776,Credit Card,Annual,0,Android,22923751,jul,$ 149.586703321629
4994,0,18666.6867716922,PayPal,Annual,0,Android,67336255,jul,$ 128.14824725297
929,0,19741.1300152021,PayPal,Monthly,1,Android,14096250,jul,$ 10.827722053574
1005,0,23477.972474904,Credit Card,Annual,0,Android,15957127,jul,$ 157.703922697551
12684,0,20631.810966546,Credit Card,Quarterly,0,Android,28464886,jul,$ 9.98189024610385
15714,0,18489.388711673302,Credit Card,Quarterly,0,Android,49749640,jul,$ 10.3818097799927
6468,0,21112.8960250248,Credit Card,Monthly,1,iOS,39341512,jul,$ 14.9210244532715
5380,0,21513.4378126128,Credit Card,Annual,0,Android,36943405,jul,$ 171.993445385437
8551,0,16245.0801020375,Credit Card,Annual,1,Android,71406352,jul,$ 136.631733078094
13803,0,19156.4604550783,Credit Card,Annual,1,iOS,61547180,jul,$ 210.819303785556
350,1,16288.7191012625,PayPal,Monthly,1,iOS,80783761,jul,$ 14.3226254172157
2141,0,16619.2192909073,Credit Card,Monthly,0,iOS,87497639,jul,$ 12.1808534267631
6012,0,19577.9315585691,PayPal,Quarterly,0,Android,59456766,jul,$ 10.0390027165278
3425,0,18784.3607118237,PayPal,Quarterly,1,Android,47750797,jul,$ 11.7412718341037
2714,0,18413.9891984345,Credit Card,Annual,1,Android,38699274,jul,$ 164.91148406079
169,1,15297.4558120324,PayPal,Monthly,0,Android,83015137,jul,$ 13.1272810129133
4242,0,19415.7977484799,Credit Card,Annual,0,Android,19112408,jul,$ 145.122516856726
826,0,16851.0561412173,PayPal,Monthly,0,Android,84414397,jul,$ 11.7663936539514
10541,0,17101.9818004965,PayPal,Monthly,0,iOS,19688661,jul,$ 14.7729626175542
4957,0,21187.0219839413,Credit Card,Annual,0,Android,61093385,jul,$ 145.680329005662
9443,0,17300.9757566798,Credit Card,Annual,0,Android,11671419,jul,$ 173.925223011513
16808,0,21206.0463392613,Credit Card,Annual,0,iOS,61420529,jul,$ 147.23592540602
11280,0,17140.1826315598,PayPal,Quarterly,0,Android,81806270,jul,$ 9.65808183059733
9194,0,18352.8096829918,Credit Card,Quarterly,0,Android,83872139,jul,$ 7.81394897912354
10746,0,17200.5993868494,Credit Card,Annual,1,Android,14195435,jul,$ 157.643157062385
11345,0,18700.11973256,Credit Card,Annual,1,Android,51733717,jul,$ 170.33394955887
19215,0,20468.175202722,PayPal,Monthly,0,Android,17069643,jul,$ 15.2385598504909
10329,0,20534.2404723596,Credit Card,Quarterly,0,Android,36030124,jul,$ 8.39095282894541
5585,0,18498.2632502981,Credit Card,Annual,0,iOS,50443077,jul,$ 158.704868819108
4237,0,20765.923440117902,Credit Card,Annual,0,Android,56784866,jul,$ 147.791937897632
15516,0,17307.211912023202,PayPal,Monthly,0,Android,12619373,jul,$ 15.4193247275766
17539,0,21086.0693554115,Credit Card,Annual,0,Android,40335254,jul,$ 149.099280204851
12372,0,17464.4453000373,Credit Card,Quarterly,0,Android,78480596,jul,$ 11.7541746067937
1256,0,18683.8210872749,Credit Card,Quarterly,0,Android,18079861,jul,$ 7.92618766061381
5210,0,18315.8567662756,PayPal,Monthly,0,Android,62334009,jul,$ 15.1697037620765
16453,0,22398.5522550896,PayPal,Monthly,1,Android,32927166,jul,$ 15.252251594971
2248,0,14926.9835794394,Credit Card,Monthly,1,Android,68728582,jul,$ 16.0034617600799
326,1,12746.475065218301,PayPal,Annual,1,Android,85489964,jul,$ 144.954944540099
916,0,19350.6594031359,PayPal,Monthly,0,Android,43872919,jul,$ 14.224251319681
